name = 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC
tstamp = 1636618671.0
backend_name = memory
id = 9
timecol 'time/s' for: 'raw potential / [V]' and 'raw current / [mA]' and 'selector' and '$U_{RHE}$ / [V]' and 'J / [mA cm$^{-2}$]'
N_header_lines = 9

time/s,	raw potential / [V],	raw current / [mA],	selector,	$U_{RHE}$ / [V],	J / [mA cm$^{-2}$]
7329.671657323837,	0.051107354,	-0.001102553025458475,	11,	0.051107354,	-0.005625270538053444,	
7330.671657323837,	0.051092058,	-0.00110281606570352,	11,	0.051092058,	-0.00562661258012,	
7331.671657323837,	0.05120286,	-0.001098476387257689,	11,	0.05120286,	-0.005604471363559637,	
7332.671657323837,	0.051149435,	-0.001099840185628274,	11,	0.051149435,	-0.005611429518511602,	
7333.671657323837,	0.051126454,	-0.001099167125311218,	11,	0.051126454,	-0.005607995537302133,	
7334.671657323837,	0.051137872,	-0.001101442163740285,	11,	0.051137872,	-0.005619602876225944,	
7335.671657323837,	0.051179953,	-0.001098751940054356,	11,	0.051179953,	-0.005605877245175286,	
7336.671657323837,	0.051111158,	-0.001099336620455145,	11,	0.051111158,	-0.005608860308444617,	
7337.671657323837,	0.051191445,	-0.001099817119527143,	11,	0.051191445,	-0.005611311834322158,	
7338.671657323837,	0.051160853,	-0.001101495889178478,	11,	0.051160853,	-0.00561987698560448,	
7339.671657323837,	0.051214352,	-0.001097555599873887,	11,	0.051214352,	-0.005599773468744321,	
7340.671657323837,	0.051179953,	-0.001100741414411461,	11,	0.051179953,	-0.00561602762454827,	
7341.671657323837,	0.051195249,	-0.001099795874615669,	11,	0.051195249,	-0.005611203441916678,	
7342.671657323837,	0.051149361,	-0.001101281711133198,	11,	0.051149361,	-0.0056187842404755006,	
7343.671657323837,	0.051168464,	-0.001094621876580642,	11,	0.051168464,	-0.0055848054927583775,	
7344.671657085419,	0.051137872,	-0.001100869138992858,	11,	0.051137872,	-0.005616679280575806,	
7345.671657085419,	0.051172342,	-0.001098616882134229,	11,	0.051172342,	-0.005605188174154229,	
7346.671657085419,	0.05114175,	-0.001098439077404329,	11,	0.05114175,	-0.005604281007164943,	
7347.671657085419,	0.051134065,	-0.001098983819037676,	11,	0.051134065,	-0.005607060301212633,	
7348.671657085419,	0.051160853,	-0.001097915471310262,	11,	0.051160853,	-0.005601609547501336,	
7349.671657085419,	0.051107354,	-0.00109763859213563,	11,	0.051107354,	-0.0056001968986511734,	
