ixdat version = 0.2.1dev
name = 2021-11-11 08_56_25 CO-strip_01_01_CVA_DUSB0_C01.mpt
technique = EC
tstamp = 1636618671.0
backend_name = BackendBase(none, address=none)
id = 4
timecol 'time/s' for: 'Ewe/V' and '<I>/mA' and 'selector'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V"], "raw_current": ["<I>/mA"], "cycle": ["cycle number"]}
N_header_lines = 11

time/s,	Ewe/V,	<I>/mA,	selector
12289.514397382736,	0.05114175,	-0.0001537597638525765,	0
12289.614397287369,	0.051153243,	-0.000153833480580943,	0
12289.71439743042,	0.051061537,	-0.0001540511903440349,	0
12289.814397335052,	0.05114175,	-0.0001538548556127355,	0
12289.914397239685,	0.051084448,	-0.0001541002555604791,	0
12290.014397382736,	0.051137872,	-0.0001533762534527341,	0
12290.114397287369,	0.051134065,	-0.0001541598519397671,	0
12290.21439743042,	0.051130336,	-0.0001538688869040928,	0
12290.314397335052,	0.051168539,	-0.0001536772878171176,	0
12290.414397239685,	0.051179953,	-0.0001534784952382324,	0
12290.514397382736,	0.051103547,	-0.0001540251684346004,	0
12290.614397287369,	0.051111232,	-0.0001536897256301018,	0
12290.71439743042,	0.051134139,	-0.0001533689998468621,	0
12290.814397335052,	0.051118843,	-0.0001539434374863056,	0
12290.914397239685,	0.051149361,	-0.000153376700662193,	0
12291.014397382736,	0.051111158,	-0.0001535117714956866,	0
12291.114397287369,	0.05111504,	-0.0001533079582586652,	0
12291.214397192001,	0.05114175,	-0.0001536037202458833,	0
12291.314397335052,	0.051172268,	-0.0001535140648920789,	0
12291.414397239685,	0.051164731,	-0.0001532027977227701,	0
12291.514397382736,	0.051111232,	-0.0001535715911886661,	0
12291.614397287369,	0.05118376,	-0.0001536971283494497,	0
12291.714397192001,	0.051164657,	-0.0001533125315472717,	0
12291.814397335052,	0.051134065,	-0.0001533235240785877,	0
12291.914397239685,	0.051153168,	-0.0001531292442232368,	0
12292.014397382736,	0.051137947,	-0.0001533858609327582,	0
12292.114397287369,	0.051160853,	-0.0001534373691829388,	0
12292.214397192001,	0.051126454,	-0.0001532018886500736,	0
12292.314397335052,	0.051157046,	-0.0001530087554856437,	0
12292.414397239685,	0.051176149,	-0.0001531405353016459,	0
12292.514397382736,	0.051187564,	-0.0001530617833632279,	0
12292.614397287369,	0.05114175,	-0.0001529377948900222,	0
12292.714397192001,	0.051153168,	-0.0001529235990601592,	0
12292.814397335052,	0.051107354,	-0.0001528198241867364,	0
